,Terms,% Freq in Thesis
73179,big thunder mountain,0.2686651551004717
831857,walt disney studios,0.17782845686435514
353175,in disney hotel,0.11823189294224694
377680,it small world,0.10958077882452155
353286,in disney village,0.10477460431467411
360507,in one day,0.09948781235384194
874747,year old daughter,0.09372040294202501
249628,fast pass system,0.09179793313808604
813139,use fast pass,0.09083669823611655
844220,we stayed in,0.08939484588316232
171779,disney dreams show,0.08362743647134539
823300,visited disneyland paris,0.08314681902036065
821033,visit disneyland paris,0.08170496666740643
239939,extra magic hours,0.08074373176543694
298686,go on rides,0.08074373176543694
290056,get on rides,0.0793018794124827
518109,on main street,0.0793018794124827
845448,we went on,0.0759375572555895
185394,do not miss,0.07017014784377257
178976,disney world in,0.06776706058884885
831867,walt disney world,0.06584459078490988
288535,get fast pass,0.06536397333392514
826356,wait go back,0.06440273843195565
353399,in disneyland paris,0.0639221209809709
870211,would highly recommend,0.06248026862801667
97729,cannot wait go,0.06248026862801667
726581,staying in disney,0.06151903372604719
177627,disney studios park,0.06103841627506244
584608,peter pans flight,0.06007718137309296
249650,fast pass tickets,0.058635329020138724
858877,wild west show,0.05767409411816924
109908,characters walking around,0.056232241765215005
584545,peter pan ride,0.05430977196127603
845030,we visited disneyland,0.05382915451029129
516492,on first day,0.05334853705930655
93677,buzz light year,0.05190668470635231
874991,year old son,0.05190668470635231
794440,trip disneyland paris,0.05190668470635231
353400,in disneyland park,0.05142606725536757
517746,on last day,0.05094544980438283
494825,not go on,0.04998421490241334
423182,loved every minute,0.048061745098474364
370168,indiana jones ride,0.04758112764748962
869950,would go back,0.04758112764748962
434427,main street usa,0.04613927529453539
590529,place on earth,0.04613927529453539
267980,food in park,0.045658657843550644
845403,we went in,0.045658657843550644
465836,mountain indiana jones,0.045178040392565906
181544,disneyland paris in,0.04469742294158116
