,Terms,% Freq in Thesis
109097,place on earth,0.14809866657886062
58189,happiest place on,0.12808533325739296
150946,wait in line,0.09606399994304472
151513,waiting in line,0.07805199995372383
15834,big thunder mountain,0.07204799995728355
60230,hong kong disneyland,0.07204799995728355
159485,would not recommend,0.07004666662513678
152991,waste time money,0.06604399996084324
54864,go on rides,0.06604399996084324
80032,many people in,0.06003999996440295
122935,save money go,0.06003999996440295
160260,year old daughter,0.06003999996440295
26597,could not get,0.054035999967962656
133528,stood in line,0.054035999967962656
36062,do not go,0.054035999967962656
21512,characters walking around,0.05203466663581589
92622,not worth money,0.050033333303669124
132346,standing in line,0.050033333303669124
132207,stand in line,0.04803199997152236
154948,we went on,0.04803199997152236
87218,never go back,0.04803199997152236
36084,do not waste,0.04803199997152236
151338,waited in line,0.04803199997152236
107069,people in park,0.0460306666393756
34480,disney world in,0.0460306666393756
53153,get on ride,0.04402933330722883
26652,could not wait,0.04402933330722883
53154,get on rides,0.04202799997508207
92462,not waste money,0.04202799997508207
69328,it small world,0.040026666642935305
160318,year old son,0.040026666642935305
92466,not waste time,0.038025333310788535
150310,visited disneyland paris,0.03602399997864177
108112,peter pan ride,0.03602399997864177
26633,could not see,0.03602399997864177
154841,we visited disneyland,0.03602399997864177
118498,ride broke down,0.03602399997864177
26478,could go on,0.034022666646495
64865,in front us,0.034022666646495
152217,walt disney world,0.034022666646495
150025,visit disneyland paris,0.034022666646495
67796,indiana jones ride,0.034022666646495
33499,disney land paris,0.034022666646495
33433,disney in florida,0.03202133331434824
65369,in line get,0.03202133331434824
143574,total rip off,0.03202133331434824
65068,in hong kong,0.03202133331434824
79545,managed get on,0.03202133331434824
90748,not happiest place,0.03202133331434824
91688,not recommend anyone,0.03202133331434824
