,Terms,% Freq in Thesis
5340,hong kong,0.40703434697817886
3011,disneyland in,0.144431542476128
12037,theme park,0.14005482906776046
5253,hk disneyland,0.12254797543429041
8247,ocean park,0.11379454861755538
5723,in hong,0.10504112180082036
6324,kong disneyland,0.10504112180082036
13992,would not,0.10066440839245283
13551,we went,0.09191098157571781
3164,do not,0.0875342681673503
13693,went on,0.08315755475898277
8097,not much,0.07878084135061526
8026,not even,0.07878084135061526
5745,in line,0.07878084135061526
2825,disney characters,0.07878084135061526
13297,waiting time,0.07440412794224775
6755,lion king,0.07440412794224775
2895,disney parks,0.07002741453388023
5688,in disneyland,0.07002741453388023
2863,disney land,0.07002741453388023
4859,go on,0.07002741453388023
8180,not worth,0.07002741453388023
8490,one day,0.07002741453388023
4431,food expensive,0.07002741453388023
3005,disneyland hong,0.06565070112551272
11434,space mountain,0.06565070112551272
8884,parade fireworks,0.061273987717145206
8048,not go,0.061273987717145206
7987,not bad,0.061273987717145206
2940,disney world,0.061273987717145206
8050,not good,0.061273987717145206
6845,long queues,0.061273987717145206
11265,small world,0.061273987717145206
6048,it small,0.05689727430877769
12064,there no,0.05689727430877769
5133,happiest place,0.05689727430877769
621,around park,0.05689727430877769
8467,on weekday,0.05689727430877769
5252,hk disney,0.05689727430877769
5085,half day,0.05689727430877769
10650,save money,0.05252056090041018
5787,in park,0.05252056090041018
6266,king show,0.05252056090041018
12591,toy story,0.05252056090041018
8126,not recommend,0.05252056090041018
9462,place on,0.05252056090041018
9049,park not,0.05252056090041018
13398,waste time,0.05252056090041018
2150,could not,0.05252056090041018
6323,kong disney,0.05252056090041018
