,Terms,% Freq in Thesis
73963,fast pass,0.20226231389734392
100811,in park,0.17823995696818723
55325,disneyland paris,0.16756335388856203
100562,in line,0.15095530465358953
192119,space mountain,0.14976901542252005
54685,disney world,0.13998212926619696
94685,hong kong,0.13671983388075593
44101,could not,0.13494040003415173
234321,would not,0.13316096618754752
235145,year old,0.12218779080015497
227611,we went,0.11091804310499505
141489,on rides,0.09846200617876566
85981,go on,0.09697914463992882
33271,cast members,0.08986140925351203
207715,thunder mountain,0.0883785477146752
142127,one day,0.08808197540690783
100074,in disney,0.08689568617583837
100270,in florida,0.08333681848262997
229341,went on,0.08274367386709523
73965,fast passes,0.08215052925156051
151103,park not,0.08096424002049103
85674,go back,0.08066766771272367
135947,not get,0.07977795078942157
203766,theme park,0.07918480617388683
102126,indiana jones,0.07888823386611947
121834,many rides,0.07859166155835211
174826,rides closed,0.07740537232728265
84197,get on,0.07710880001951527
55145,disneyland in,0.07681222771174791
54298,disney parks,0.07473622155737634
189208,small world,0.07354993232630688
119871,main street,0.07206707078747004
175285,rides not,0.0705842092486332
77164,first time,0.07028763694086584
54296,disney park,0.06999106463309848
150888,park in,0.06791505847872692
84087,get in,0.06672876924765744
135954,not go,0.06613562463212272
100075,in disneyland,0.06583905232435534
28695,broke down,0.06465276309328588
136260,not much,0.06465276309328588
53715,disney characters,0.06316990155444906
56555,do not,0.06287332924668168
55327,disneyland park,0.06228018463114695
235284,years ago,0.06198361232337959
31089,california adventure,0.06139046770784485
121801,many people,0.06079732309231012
135957,not good,0.05931446155347329
224931,walt disney,0.05931446155347329
129939,much better,0.05901788924570592
