,Terms,% Freq in Thesis
9394,disneyland paris,0.2870644190962465
17647,in park,0.1775266802305735
31347,rides closed,0.1529751180710261
42460,year old,0.14164362784354267
17646,in paris,0.12086922909315642
7120,could not,0.11709206568399529
42258,would not,0.11520348397941471
24927,on rides,0.11331490227483415
12732,fast pass,0.1038719937519313
17570,in line,0.09442908522902846
40990,we went,0.08876334011528675
15001,go on,0.08876334011528675
14924,go back,0.08687475841070617
26018,over hour,0.08309759500154504
2464,attractions closed,0.08120901329696448
23729,not go,0.08120901329696448
4301,broke down,0.08120901329696448
37161,thunder mountain,0.0793204315923839
17478,in florida,0.07743184988780334
20154,long queues,0.07743184988780334
9554,do not,0.07554326818322277
17688,in queue,0.07365468647864219
23682,not even,0.07365468647864219
17421,in disney,0.07365468647864219
26992,park not,0.07176610477406163
31474,rides not,0.06610035966031992
9042,disney characters,0.06421177795573935
9190,disney park,0.06421177795573935
34869,staff not,0.06421177795573935
14648,get on,0.06421177795573935
14623,get in,0.06232319625115878
2055,around park,0.06232319625115878
24046,not worth,0.06232319625115878
21161,many rides,0.06043461454657821
9122,disney in,0.06043461454657821
9189,disney paris,0.06043461454657821
25085,one day,0.05854603284199764
34548,space mountain,0.05854603284199764
26925,park in,0.05854603284199764
17494,in front,0.05476886943283651
40605,waste money,0.05476886943283651
36528,there no,0.05476886943283651
31682,rip off,0.05476886943283651
40980,we visited,0.05476886943283651
42495,years ago,0.05476886943283651
40608,waste time,0.05288028772825593
40022,visited disneyland,0.05288028772825593
40305,waiting in,0.05288028772825593
5126,cast members,0.05288028772825593
41313,went on,0.05288028772825593
