,Terms,% Freq in Thesis
127230,fast pass,0.2873380395769017
50059,california adventure,0.21114457836324413
92870,disney world,0.17486197778531196
177067,in park,0.15682146249795123
127233,fast passes,0.1563175374899244
176694,in line,0.1560151824851083
335624,space mountain,0.14704531734223064
248371,on earth,0.13202835210303093
155571,great time,0.12799695203881625
277256,place on,0.126283607011525
179339,indiana jones,0.12154671193607275
250298,one day,0.11842237688630637
414616,year old,0.1180192368798849
159802,happiest place,0.11479411682851315
400261,we went,0.10582425168563547
149652,go on,0.10320384164389593
133659,first time,0.10159128161821006
149079,go back,0.09352848148978068
249335,on rides,0.09332691148656995
54683,cast members,0.09080728644643578
337672,splash mountain,0.0897994364303821
212153,main street,0.08879158641432844
161053,haunted mansion,0.08869080141272306
213122,make sure,0.08838844640790697
392806,wait times,0.08355076633084935
264009,park hopper,0.0818374213035581
330225,small world,0.08113192629232054
204724,long lines,0.07518561119760388
73545,could not,0.0750848261959985
176012,in disneyland,0.07155735113981065
276363,pirates caribbean,0.07024714611894088
403633,went on,0.06934008110449258
145835,get fast,0.06782830608041207
94214,disneyland park,0.06702202606756913
5448,adventure park,0.06581260604830473
207877,love disneyland,0.06510711103706716
146195,get on,0.06460318602904032
96512,do not,0.06440161602582958
81725,day park,0.06329298100817055
340495,star wars,0.05996707595519344
340485,star tours,0.05986629095358807
175704,in california,0.05895922593913976
357152,theme park,0.058354515929507564
176994,in one,0.05764902091826999
281464,popular rides,0.056439600899005585
390167,visit disneyland,0.05613724589418949
240877,not get,0.055431750882951915
98931,downtown disney,0.05523018087974118
145992,get in,0.05422233086368751
176272,in florida,0.05422233086368751
