,Word,Count
2127,saying,45
316,limited,45
875,reason,45
664,ok,45
1005,yet,45
2627,mind,45
42,problem,44
969,security,44
2196,50,44
2605,fact,44
1366,coaster,44
963,rather,44
258,husband,44
748,entry,44
371,value,43
395,kept,43
842,available,43
660,entire,43
1375,complete,43
1686,tell,43
927,hate,43
2100,employees,43
2075,resort,43
44,pushing,42
2178,adult,42
933,la,42
92,rain,42
479,picture,42
1706,haunted,42
1051,able,42
4,tokyo,41
495,choice,41
1121,guess,41
2200,nearly,41
2597,returned,41
179,biggest,41
1545,mean,41
1538,management,41
766,cancelled,41
918,real,41
435,english,41
3484,waits,41
900,american,41
122,online,41
3541,caribbean,41
891,turned,41
3732,annual,41
923,coffee,40
919,looks,40
744,anywhere,40
1916,makes,40
2808,whilst,40
856,loved,40
2168,wish,39
408,plan,39
632,coming,39
850,totally,39
1402,despite,39
2114,order,39
1949,opened,38
508,lost,38
1648,simply,38
2206,car,38
1769,happened,38
1523,peak,38
665,bored,38
800,supposed,38
2065,25,38
1469,changed,38
211,breakfast,38
547,offer,38
445,outrageous,38
3157,moving,38
1544,round,37
1484,smoke,37
1086,ages,37
1253,cut,37
2188,hotels,37
1112,party,37
100,eating,37
1143,school,37
2123,que,37
741,universal,37
843,gave,36
2116,stroller,36
2512,shame,36
331,along,36
1572,might,36
2211,birthday,36
537,chinese,36
886,attitude,36
771,site,35
901,eurodisney,35
832,planned,35
1973,ask,35
1290,group,35
1028,throughout,35
817,minnie,35
2183,france,35
697,frustrating,35
2124,breaking,35
1749,annoying,35
1446,didnt,35
1064,over,35
1208,customers,35
167,soon,35
372,set,35
532,shop,35
2280,filthy,34
1394,information,34
3410,hopper,34
1110,offered,34
867,admission,34
308,third,34
1388,problems,34
2136,daughters,34
1019,11,34
708,sadly,34
712,clean,34
388,including,34
934,obviously,34
3194,stood,34
458,enter,34
2427,village,34
1741,wasted,34
529,knew,34
109,atmosphere,34
1425,unhelpful,33
1350,happy,33
541,girl,33
1462,anymore,33
1704,pizza,33
635,near,33
1268,purchased,33
1464,seeing,33
1692,gets,33
1548,control,33
202,u,33
68,fantastic,33
1597,travel,33
601,fan,33
58,free,33
209,dinner,33
3250,matterhorn,33
2422,overcrowded,33
2287,ques,33
1920,station,33
953,strollers,33
1976,chicken,33
354,usual,33
1163,entertainment,33
2539,uk,33
1023,low,33
3991,technical,32
1589,truly,32
1013,feeling,32
1489,live,32
1080,refurbishment,32
2064,together,32
1310,seriously,32
855,best,32
2081,five,32
1204,complaint,32
193,burger,32
1707,house,32
1819,city,32
1881,comparison,31
2082,believe,31
3457,running,31
474,access,31
2795,bus,31
3576,refund,31
3555,00,31
669,disneylands,31
1006,except,31
757,afternoon,31
14,souvenirs,31
61,happen,31
4376,massive,31
1257,toilet,31
2458,completely,31
783,months,31
256,light,31
46,cutting,31
1065,forward,31
1359,name,31
1793,usually,30
466,gate,30
858,helpful,30
839,heat,30
1914,e,30
909,peter,30
1216,it,30
192,bottle,30
456,leaving,30
1399,missed,30
2128,oh,30
1928,cars,30
471,taken,30
910,pan,30
1251,badly,29
1327,barely,29
1164,standards,29
1337,size,29
296,case,29
1434,anniversary,29
367,purchase,29
1494,pictures,29
671,monday,29
204,charge,29
2404,frozen,29
53,forget,29
2195,spending,29
1454,large,28
1343,possible,28
3560,shuttle,28
602,miss,28
1349,disneys,28
2036,excited,28
132,weekday,28
413,store,28
3385,ice,28
1760,certainly,28
1225,wars,28
753,apart,28
704,unhappy,28
138,weekends,28
1361,expectations,28
144,general,28
2645,nightmare,28
580,change,28
328,hand,28
617,america,28
868,generally,28
736,issue,28
520,ocean,28
409,suggest,28
1115,age,28
893,version,27
390,stuff,27
1698,blast,27
2166,using,27
1293,game,27
2182,chance,27
217,cheap,27
4299,70,27
1332,expecting,27
570,clearly,27
978,allow,27
1053,advice,27
1943,limit,27
2537,dollars,27
2492,after,27
3225,bathrooms,27
1849,matter,27
551,friends,27
1820,hall,27
426,hongkong,27
340,heard,26
2025,booking,26
1439,meant,26
1652,top,26
1410,compare,26
539,sign,26
355,super,26
1252,pushed,26
391,anyway,26
1505,surprised,26
2323,october,26
1384,spring,26
1521,travelled,26
1780,head,26
1030,while,26
952,baby,26
4249,often,26
3405,needed,26
2297,tours,26
2516,within,26
222,china,25
1499,younger,25
1557,rubbish,25
2774,august,25
1266,merchandise,25
779,checked,25
304,closures,25
2740,chips,25
2520,buzz,25
2636,mansion,25
410,shopping,25
1371,complained,25
247,toy,25
4166,again,25
1153,till,25
1348,cheaper,25
847,bag,25
248,story,25
1295,advance,25
434,speak,25
2415,thinking,25
2362,turn,25
1605,takes,25
168,track,25
945,empty,25
465,website,25
2018,cafe,25
180,scary,25
119,advise,25
461,skip,25
3107,wet,24
1719,saved,24
1185,june,24
1186,idea,24
1190,aged,24
1214,costs,24
2445,guest,24
3395,non,24
801,treat,24
2580,decent,24
3578,mention,24
1406,unable,24
837,sunday,24
1265,taste,24
22,basically,24
1543,negative,24
1078,thrill,24
2473,none,24
3307,snow,24
1041,april,24
947,ripped,24
1911,fine,24
1478,middle,24
205,insane,24
962,impressed,24
961,special,24
165,construction,24
675,tourists,24
674,mainland,24
1279,ruined,23
2674,read,23
1813,wheelchair,23
1858,means,23
2591,signs,23
1232,fee,23
973,cant,23
2568,refused,23
1846,sons,23
1146,snacks,23
3304,treated,23
3199,table,23
873,facilities,23
2489,vacation,23
1338,sell,23
1773,push,23
4028,frustrated,23
1664,become,23
613,cruise,23
1526,multiple,23
3807,issues,23
2080,write,23
1460,shocked,23
2705,opinion,23
732,dark,23
3817,spot,23
2540,experienced,22
2761,tea,22
3350,incredibly,22
240,discount,22
782,crap,22
716,event,22
1980,sitting,22
1002,europe,22
2981,fries,22
2350,onto,22
450,normal,22
2793,asking,22
1844,80,22
872,dated,22
322,renovation,22
4598,upset,22
1954,moment,22
1062,organised,22
1948,perhaps,22
3248,splash,22
459,ridiculously,22
1007,buying,22
1027,constantly,22
1933,poorly,22
554,unpleasant,22
1565,amusement,22
1696,sold,22
111,brought,22
1811,option,22
1259,noticed,22
831,original,22
2012,upon,22
254,sun,22
2454,nasty,22
2375,rate,22
940,month,22
2700,amazing,22
806,majority,22
812,options,22
2675,reviews,21
224,weeks,21
623,ate,21
2688,older,21
186,king,21
2916,remember,21
1942,watching,21
1342,meals,21
2818,studio,21
3534,thousands,21
2156,board,21
2752,saturday,21
1267,eventually,21
4055,meeting,21
2212,email,21
666,quickly,21
378,today,21
1412,similar,21
441,smile,21
2305,app,21
1657,various,21
1854,games,21
4032,shoulder,21
1647,opening,21
1236,list,21
1138,tour,21
1122,difference,21
2606,example,21
2526,dog,21
1848,standard,21
1936,everybody,20
1032,add,20
3755,joke,20
1909,hated,20
1859,thats,20
3386,cream,20
3156,nights,20
3052,selling,20
2143,paint,20
3655,dream,20
1640,dreams,20
2147,visits,20
1576,mad,20
283,note,20
2172,hold,20
1501,13,20
2764,stars,20
1398,informed,20
1395,arrive,20
4119,grandchildren,20
1231,hkd,20
2298,company,20
272,a,20
1416,fault,20
557,airport,20
695,ahead,20
820,numerous,20
468,stupid,20
4953,sat,20
869,effort,20
431,n,20
834,mid,20
790,covered,20
863,ca,20
838,10am,20
628,highly,20
737,certain,19
2481,downtown,19
3539,telling,19
852,towards,19
882,met,19
1527,favourite,19
1504,word,19
648,planning,19
2479,brand,19
2094,literally,19
644,december,19
1248,crying,19
1202,queueing,19
2210,boy,19
386,experiences,19
814,closing,19
1184,entering,19
4304,hell,19
2994,sort,19
185,lion,19
611,jungle,19
1305,guy,19
2424,sometimes,19
2165,afford,19
3985,stuck,19
911,smallest,19
994,otherwise,19
772,considering,19
1465,stick,19
4146,dreadful,19
1539,jumping,19
286,recent,19
5185,35,19
785,returning,19
2438,designated,19
3475,policy,19
4522,call,19
207,120,19
1931,mickeys,19
701,elsewhere,19
889,job,18
5008,planet,18
591,man,18
1025,music,18
1822,lady,18
2042,served,18
2708,basic,18
418,floor,18
596,training,18
3493,traffic,18
2780,face,18
2175,worked,18
784,earlier,18
2772,burgers,18
414,workers,18
3983,disability,18
612,river,18
106,building,18
2736,pre,18
2223,consider,18
2095,ran,18
2235,says,18
1806,notice,18
2072,mistake,18
1887,surprise,18
4253,operating,18
1550,seating,18
2515,loads,18
3208,somewhere,18
19,slightly,18
379,march,18
1962,angry,18
208,buffet,18
1315,smiling,18
3736,level,18
493,play,18
815,approx,18
3853,received,18
200,hollywood,18
1905,across,18
2482,exit,18
581,firework,17
2457,unfriendly,17
1750,lived,17
614,dumbo,17
59,seats,17
3244,greedy,17
449,minimal,17
48,gift,17
1745,added,17
2365,friend,17
28,choices,17
2218,ordered,17
1421,card,17
1987,hope,17
2884,hungry,17
3929,horrendous,17
1280,raining,17
220,travelling,17
2130,nobody,17
1096,beyond,17
3195,door,17
1437,rainy,17
995,talk,17
3792,stopped,17
1300,outlets,17
1240,straight,17
291,chose,17
621,watched,17
921,outdated,17
3594,shocking,17
1133,winter,17
1448,200,17
986,fire,17
3554,nowhere,17
72,signage,17
968,properly,17
1003,exciting,17
5006,before,17
506,local,17
967,pack,17
1200,states,17
1639,childrens,17
3295,employee,17
123,deal,17
980,ready,17
2129,bigger,16
415,couldnt,16
3234,fantasmic,16
786,excuse,16
104,rooms,16
1721,known,16
2639,designed,16
6492,cigarette,16
4407,arrival,16
2988,provided,16
1445,personally,16
1039,highlight,16
2341,apparently,16
1540,14,16
2032,occasions,16
1291,girls,16
857,fantasyland,16
1843,reservation,16
1296,tip,16
2528,talking,16
1604,public,16
4029,autograph,16
1452,recently,16
293,longest,16
235,vouchers,16
2101,fair,16
2231,paper,16
1428,situation,16
2681,letting,16
1335,friday,16
2240,sick,16
483,showed,16
1178,speaking,16
717,2nd,16
405,interesting,16
3155,staying,16
1570,childhood,16
45,shoving,16
3550,town,16
1226,mine,16
1723,entered,16
5240,parts,16
904,tuesday,16
877,popcorn,16
3009,smelly,15
253,shade,15
3246,double,15
5201,organisation,15
3482,tram,15
1262,enjoyable,15
1809,wheel,15
2074,off,15
1383,decorations,15
778,reply,15
4174,safety,15
4030,autographs,15
2877,5pm,15
1835,display,15
1199,fl,15
3461,bothered,15
1396,learn,15
1274,complain,15
3059,500,15
1319,wont,15
1165,maintained,15
689,greet,15
146,easily,15
828,shorter,15
1205,opens,15
2992,seat,15
804,wonderful,15
811,excitement,15
5212,bar,15
829,feels,15
4268,fastpasses,15
1311,hands,15
80,map,15
3115,whether,15
912,finish,15
2434,previously,15
1522,february,15
5771,desk,15
1732,rode,15
2439,rules,15
2306,exchange,15
453,junk,15
2339,white,15
3533,imagine,15
727,grizzly,15
2205,view,15
3801,gates,15
402,missing,15
2762,cups,15
1475,appalling,15
960,manor,15
2304,wednesday,15
1109,phone,15
1765,mediocre,15
2654,fully,15
2282,hrs,15
306,previous,15
987,works,15
2317,2015,15
2779,dangerous,15
776,services,15
4625,business,15
2377,actual,14
35,fountains,14
3673,boat,14
3130,woman,14
2503,memories,14
1022,happens,14
1653,pick,14
965,foot,14
3668,railroad,14
4111,location,14
525,australia,14
1679,questions,14
30,mostly,14
3102,freezing,14
3602,greed,14
3049,lifetime,14
2326,trouble,14
2320,explained,14
3309,picked,14
1880,state,14
802,comes,14
1223,exception,14
2521,lightyear,14
4987,became,14
166,finished,14
1345,indeed,14
983,provide,14
3376,they,14
2465,simple,14
3687,thursday,14
1683,finding,14
155,fortune,14
4081,streets,14
1285,carousel,14
1089,souvenir,14
6202,lovely,14
3947,aware,14
1500,sister,14
276,up,14
1100,included,14
1167,exhausted,14
1141,easy,14
3764,fix,14
1632,faces,14
6581,dlp,14
2690,beware,14
2150,alone,14
1516,future,14
1515,interest,14
2257,wanting,14
524,choose,14
1049,terribly,14
1180,events,14
1594,opportunity,14
1323,lacking,14
2677,nemo,14
1958,worn,13
6522,rock,13
374,pathetic,13
2426,trips,13
984,indian,13
3767,response,13
2400,coasters,13
1237,absolute,13
3206,sent,13
3824,navigate,13
3738,17,13
658,centre,13
491,machine,13
3182,blue,13
892,tourist,13
3624,caused,13
4885,sense,13
2446,relations,13
942,july,13
1578,via,13
2367,honestly,13
3676,liked,13
507,wonder,13
1270,manage,13
726,adventureland,13
1419,cash,13
718,3rd,13
884,typical,13
4590,fixed,13
2284,out,13
3476,passports,13
2098,trash,13
1814,minimum,13
6906,valid,13
846,11am,13
2613,built,13
1429,serious,13
3982,interested,13
1187,heavy,13
2706,2014,13
1407,spoke,13
6853,term,13
885,arrogant,13
619,arriving,13
1057,addition,13
1529,dining,13
1228,hamburger,13
3548,disgusted,13
4457,quick,13
2315,september,13
1537,horrific,13
3032,extortionate,13
634,favorite,13
1215,regularly,13
2146,capacity,13
2558,positive,13
1210,easier,13
774,mentioned,13
2180,meaning,13
1779,hit,13
637,pleasant,13
3930,bathroom,13
1357,8pm,12
3964,normally,12
1941,section,12
1474,locals,12
3740,giving,12
4014,machines,12
232,salad,12
227,deep,12
1730,based,12
1507,failed,12
1873,country,12
170,rider,12
4130,words,12
3391,forever,12
1908,true,12
1700,stalls,12
1910,riding,12
719,november,12
3414,answer,12
1915,g,12
1818,letter,12
1330,complaining,12
1541,ill,12
1810,chair,12
3916,warm,12
1467,lasted,12
3782,helped,12
501,pricey,12
292,quiet,12
3120,penny,12
3119,stolen,12
1135,japan,12
1059,themed,12
4307,wants,12
4312,endless,12
1140,caught,12
1144,patrons,12
4416,grave,12
2664,beautiful,12
2659,immediately,12
2628,therefore,12
2122,popular,12
38,bottles,12
2621,question,12
1229,menu,12
1227,cart,12
110,fantasy,12
4344,captain,12
2579,drinking,12
4391,cheese,12
2562,careful,12
420,mess,12
4746,carribean,12
5710,disgrace,12
3001,additional,12
3023,hoping,12
427,reasons,12
3099,30pm,12
2725,suppose,12
1269,items,12
2221,receive,12
4475,garbage,12
385,terms,12
1298,whatever,12
2409,tiny,12
1490,75,11
1093,activities,11
2742,hotdogs,11
2722,ears,11
2952,reality,11
2915,improved,11
1805,prior,11
1473,manners,11
1097,blocked,11
3449,unacceptable,11
641,fees,11
3515,corporate,11
2561,bunch,11
769,unfair,11
2204,enjoyment,11
221,thru,11
1004,grown,11
4369,contact,11
2193,appreciate,11
549,toys,11
1754,wow,11
3389,agree,11
1799,mail,11
1762,follow,11
1072,celebrate,11
709,alot,11
2227,plastic,11
4010,numbers,11
4449,feet,11
8147,buggy,11
2154,discovered,11
2137,pool,11
3999,anytime,11
3005,starting,11
3487,slot,11
4616,expense,11
2784,living,11
1520,max,11
4415,roll,11
2687,lucky,11
1764,jump,11
407,ups,11
3938,regular,11
2115,rent,11
4057,explain,11
1735,loves,11
439,lining,11
2148,six,11
1209,7pm,11
1482,personal,11
1680,cashier,11
5091,roped,11
932,24,11
265,surely,11
1930,pooh,11
1275,1st,11
3319,office,11
3051,teens,11
3314,drove,11
214,nearby,11
2490,fewer,11
3311,process,11
1352,doubt,11
3240,olds,11
3672,goes,11
