,Terms,% Freq in Thesis
172892,fast pass,0.22179373093673294
235632,in park,0.1801863072868816
432031,space mountain,0.1581588477075485
529864,year old,0.1430518926703814
325545,one day,0.13410587460367906
223353,hong kong,0.13376828901625634
201387,go on,0.12144641507532675
74765,california adventure,0.12077124390048129
208525,great time,0.12026486551934719
512298,we went,0.1168890096451199
128641,disney world,0.11418832494573807
323255,on earth,0.11030609069037668
200695,go back,0.10963091951553122
172896,fast passes,0.10811178437212894
278974,main street,0.1069302348161494
358334,place on,0.10625506364130394
280199,make sure,0.10524230687903575
425417,small world,0.10068490144882891
180918,first time,0.09882818071800391
130125,disneyland paris,0.09840619873372548
324384,on rides,0.09798421674944707
213685,happiest place,0.09722464917774594
238404,indiana jones,0.08675949596764135
516637,went on,0.08422760406197087
234402,in disneyland,0.08296165810913564
235191,in line,0.08287726171227996
130130,disneyland park,0.0822020905374345
132895,do not,0.081273730172022
459220,theme park,0.07561917158269128
80153,cast members,0.07266529769274241
467483,thunder mountain,0.07258090129588672
234399,in disney,0.06912064902480375
235544,in one,0.06768591027825716
515991,well worth,0.06734832469083443
315080,not miss,0.06717953189712306
105263,could not,0.06658875711913328
76873,cannot wait,0.06616677513485487
357210,pirates caribbean,0.06566039675372078
500389,visit disneyland,0.06051221654552417
215202,haunted mansion,0.05966825257696734
503802,wait times,0.05966825257696734
505831,walt disney,0.05949945978325598
126895,disney characters,0.05873989221155484
197142,get on,0.05831791022727643
528180,would recommend,0.05814911743356506
302593,much fun,0.05722075706815256
234318,in day,0.05646118949645142
343017,park in,0.055701621924750276
129740,disneyland in,0.055532829131038915
127895,disney park,0.055279639940471866
