,Terms,% Freq in Thesis
14484,big thunder mountain,0.17388384170162396
170986,walt disney studios,0.07749171206268025
169010,visited disneyland paris,0.06048133624404312
168568,visit disneyland paris,0.056701252728790424
179026,would not go,0.056701252728790424
27437,could not get,0.05292116921353773
170318,waiting in line,0.049141085698285035
173861,we went on,0.045361002183032344
179938,year old daughter,0.045361002183032344
70994,in front us,0.045361002183032344
179059,would not recommend,0.045361002183032344
70263,in disney hotel,0.045361002183032344
75961,it small world,0.045361002183032344
21349,characters walking around,0.045361002183032344
74331,indiana jones ride,0.04347096042540599
119496,peter pan ride,0.04347096042540599
50077,fast pass system,0.041580918667779646
132264,ride broke down,0.041580918667779646
59892,go on rides,0.041580918667779646
173557,we stayed in,0.041580918667779646
137156,save money go,0.041580918667779646
48401,extra magic hours,0.0396908769101533
174953,went disneyland paris,0.0396908769101533
72048,in one day,0.0396908769101533
70288,in disney village,0.0396908769101533
57698,get fast pass,0.0396908769101533
172850,we ended up,0.037800835152526954
99713,not go back,0.037800835152526954
170809,walking around park,0.037800835152526954
104991,on first day,0.037800835152526954
35509,disney parks in,0.037800835152526954
118498,people in park,0.0359107933949006
170989,walt disney world,0.0359107933949006
32167,designated smoking areas,0.0359107933949006
173854,we went in,0.0359107933949006
167267,use fast pass,0.0359107933949006
27469,could not see,0.0359107933949006
24028,closed due technical,0.0359107933949006
35007,disney land paris,0.034020751637274256
70325,in disneyland park,0.034020751637274256
36474,disneyland in california,0.034020751637274256
37498,do not go,0.034020751637274256
70324,in disneyland paris,0.034020751637274256
34945,disney in florida,0.034020751637274256
58052,get on rides,0.034020751637274256
133324,rides broke down,0.034020751637274256
18246,buzz light year,0.034020751637274256
162916,trip disneyland paris,0.034020751637274256
96222,new york hotel,0.03213070987964791
105344,on main street,0.03213070987964791
