,Terms,% Freq in Thesis
143821,place on earth,0.16504424695842623
77058,happiest place on,0.14337177008509755
198942,wait in line,0.08835702109895546
199613,waiting in line,0.08002145307075212
20440,big thunder mountain,0.07835433946511144
44906,disney world in,0.07668722585947078
174289,stand in line,0.06501743061998609
210237,would not recommend,0.06335031701434543
204096,we went on,0.06335031701434543
61220,fast pass system,0.05668186259178275
79574,hong kong disneyland,0.05501474898614208
210198,would not go,0.05334763538050141
69914,get fast pass,0.051680521774860745
28098,characters walking around,0.051680521774860745
70344,get on rides,0.051680521774860745
161635,save money go,0.05001340816922007
72388,go on rides,0.05001340816922007
119404,not go back,0.05001340816922007
85983,in hong kong,0.05001340816922007
38559,day park hopper,0.05001340816922007
122143,not worth money,0.0483462945635794
126140,on main street,0.0483462945635794
199396,waited in line,0.0483462945635794
200543,walt disney world,0.046679180957938736
34749,could not get,0.046679180957938736
125736,on first day,0.04501206735229807
157123,rides broke down,0.043344953746657394
208730,world in florida,0.043344953746657394
91436,it small world,0.043344953746657394
174498,standing in line,0.04167784014101673
70343,get on ride,0.04167784014101673
211204,year old daughter,0.04001072653537606
89524,indiana jones ride,0.04001072653537606
155847,ride broke down,0.04001072653537606
43498,disney in florida,0.04001072653537606
200539,walt disney studios,0.03834361292973539
105933,many people in,0.03667649932409472
114930,never go back,0.03667649932409472
119624,not happiest place,0.03667649932409472
198114,visited disneyland paris,0.03500938571845405
85749,in front us,0.03500938571845405
200314,walking around park,0.03500938571845405
47098,do not go,0.03334227211281338
24712,california adventure park,0.03334227211281338
115290,new years eve,0.03334227211281338
203934,we visited disneyland,0.03334227211281338
106035,many rides closed,0.03334227211281338
141291,people in park,0.03334227211281338
197614,visit disneyland paris,0.03334227211281338
119453,not going back,0.03334227211281338
