,Terms,% Freq in Thesis
12826,hong kong,0.48300891197017753
12625,hk disneyland,0.1511857163483889
14936,kong disneyland,0.14333191290171934
28979,theme park,0.1178070517000433
7033,disney parks,0.11584360083837592
27339,space mountain,0.11191669911504114
13628,in hong,0.11191669911504114
7246,disneyland in,0.10406289566837158
26938,small world,0.1001359939450368
15984,lion king,0.1001359939450368
19599,ocean park,0.09620909222170203
20165,one day,0.09424564136003463
33884,year old,0.09031873963669985
33772,would not,0.08835528877503247
13740,in park,0.08639183791336509
32744,we went,0.08246493619003031
19248,not many,0.07657458360502814
7540,do not,0.07264768188169336
13624,in hk,0.07068423102002598
19447,not worth,0.06872078015835859
14327,it small,0.0667573292966912
21557,park not,0.0667573292966912
7032,disney park,0.0667573292966912
6896,disney characters,0.0667573292966912
19261,not much,0.0667573292966912
20197,one in,0.06479387843502381
13668,in line,0.06479387843502381
28980,theme parks,0.06283042757335643
26826,small children,0.06086697671168904
30460,toy story,0.06086697671168904
13559,in disneyland,0.06086697671168904
33042,went on,0.05890352585002165
6981,disney land,0.05694007498835426
21636,park small,0.05694007498835426
5523,could not,0.05694007498835426
14820,king show,0.05497662412668687
19039,not bad,0.05301317326501948
14144,iron man,0.05301317326501948
12624,hk disney,0.05301317326501948
16720,main street,0.05301317326501948
7120,disney world,0.05301317326501948
24864,rides in,0.051049722403352094
21492,park in,0.051049722403352094
6925,disney experience,0.051049722403352094
26830,small compared,0.051049722403352094
31808,visit disneyland,0.049086271541684705
6145,day pass,0.049086271541684705
11596,go on,0.049086271541684705
20049,on rides,0.049086271541684705
32192,waiting time,0.049086271541684705
