,Terms,% Freq in Thesis
82079,place on earth,0.3323652111069641
42787,happiest place on,0.3097972029453801
113213,wait in line,0.09642694396313156
50764,it small world,0.09232366975193447
19981,day park hopper,0.08206548422394175
11889,california adventure park,0.07591057290714612
38624,get on rides,0.07591057290714612
23660,disney world in,0.07180729869594904
98468,stand in line,0.06770402448475195
116716,we went on,0.06565238737915341
113700,waiting in line,0.06360075027355486
23879,disneyland california adventure,0.057445838956759226
48263,in one day,0.057445838956759226
9438,big thunder mountain,0.057445838956759226
49514,indiana jones ride,0.05539420185116068
33569,fast pass system,0.05334256474556214
47979,in long lines,0.051290927639963596
98584,standing in line,0.04923929053436505
114304,walt disney world,0.045136016323167966
38307,get fast pass,0.045136016323167966
113579,waited in line,0.045136016323167966
17364,could not get,0.04308437921756942
99610,stood in line,0.04308437921756942
116624,we visited disneyland,0.04308437921756942
47822,in line minutes,0.041032742111970874
119605,world in orlando,0.041032742111970874
88841,rides broke down,0.041032742111970874
40024,go on rides,0.041032742111970874
71875,on main street,0.038981105006372335
46790,in california adventure,0.03692946790077379
121181,year old son,0.034877830795175244
60085,many people in,0.034877830795175244
111525,use fast pass,0.034877830795175244
118351,while in line,0.034877830795175244
26857,during spring break,0.034877830795175244
38441,get in line,0.034877830795175244
60150,many rides closed,0.032826193689576705
63575,mountain indiana jones,0.032826193689576705
80595,people in park,0.032826193689576705
115736,we could not,0.03077455658397816
24192,disneyland happiest place,0.03077455658397816
87890,ride broke down,0.03077455658397816
120513,would not recommend,0.028722919478379613
68191,not happiest place,0.028722919478379613
116648,we waited in,0.028722919478379613
71481,on earth happiest,0.028722919478379613
77474,park hopper ticket,0.028722919478379613
113701,waiting in lines,0.028722919478379613
27279,earth happiest place,0.028722919478379613
17363,could not find,0.028722919478379613
